"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","parameter"
"beta_r[53]",-0.24270669988325,-0.2469335,0.361687932791203,0.361677445647,-0.8383916,0.35666425,1.01953900531705,270.511294891248,596.820103646033,"76"
"beta_r[54]",-1.0803993360075,-1.084965,0.363272386827907,0.363741084,-1.6798355,-0.47872915,1.02007060076179,276.832073085422,580.579276740014,"77"
"beta_r[55]",-0.50544722824635,-0.5086415,0.363387532726672,0.3540478452,-1.1042965,0.1137265,1.01990116725594,272.370391717365,527.225973677182,"78"
"beta_r[56]",-0.8527780184575,-0.859995,0.361972179879711,0.35893746,-1.4407675,-0.2436947,1.01742185735474,280.4426252873,566.344549737919,"79"
"beta_r[57]",-2.03442769775,-2.04101,0.364526695608017,0.355964847,-2.633089,-1.424139,1.0200466312179,272.231150592824,600.069888618588,"80"
"beta_r[58]",0.3237916913275,0.315358,0.36305264585011,0.36278955132,-0.27273835,0.9331366,1.01884747739402,282.106308363033,619.774127826028,"81"
"beta_r[59]",-0.0421626296675,-0.0533779,2.28594875095371,2.26663283154,-3.8294945,3.7361445,1.00403536664845,10084.3925513185,2708.19321798684,"82"
"beta_r[60]",8.09290907499993e-05,0.00347361,2.25830525423236,2.218219581186,-3.7617975,3.703342,1.00197440035363,9119.78660508169,2676.62177346388,"83"
"beta_r[61]",-0.13274570845825,-0.14129,0.36169837351822,0.35051540244,-0.7240611,0.47654115,1.01937112290181,281.671636299207,626.305832460377,"84"
"beta_r[62]",0.03621861947225,0.04373965,2.27071985098483,2.29520512809,-3.6823185,3.7665155,1.00060152057428,8828.35938870068,2860.74655696486,"85"
"beta_r[63]",0.0235261220373,0.0288538,2.2384453553875,2.221720578,-3.666245,3.71295,1.00068783787293,10797.0254397303,2661.95378264385,"86"
"beta_r[64]",-0.418251530109425,-0.4205765,0.361397983129115,0.3585349341,-1.0091495,0.1856545,1.0202957845435,265.843737051309,597.257836162661,"87"
"beta_r[65]",-0.9754766785875,-0.9835145,0.361635654129549,0.3620672286,-1.5624565,-0.362928300000001,1.01997061358887,269.2207946186,601.276986100397,"88"
"beta_r[66]",-0.32903450702925,-0.3320525,0.362801972981394,0.35835301908,-0.92707905,0.2779686,1.01897997755562,272.916505079279,594.528194209148,"89"
"beta_r[67]",0.0493325483849999,0.06831965,2.23788289139935,2.248251705,-3.5501885,3.702955,1.00104717518268,10449.0517595689,2747.6918833378,"90"
"beta_r[68]",0.0154669832475,0.0343416,2.25312872318537,2.27257613016,-3.610543,3.6852085,1.00169937841935,8745.21905833401,2408.21695724596,"91"
"beta_r[69]",-0.597345687368,-0.604754,0.362703652053672,0.3590716353,-1.192587,0.00708088449999967,1.01928788431339,270.710593884503,513.24370308551,"92"
"beta_r[70]",0.934800127795,0.9277585,0.368897804976425,0.3708212403,0.337405,1.554881,1.01749579388888,288.013606775282,629.429558604539,"93"
"beta_r[71]",0.465676017603675,0.459634,0.360411370259498,0.355712805,-0.13255545,1.0654965,1.01976990585389,276.417527415437,580.217399939373,"94"
"beta_r[72]",1.53587287275,1.53767,0.363207745767196,0.363800388,0.9421451,2.1414265,1.01916737851894,273.124461883576,626.135951694136,"95"
"beta_r[73]",-0.700304529508,-0.704525,0.362208522546297,0.3574207602,-1.3007045,-0.09958839,1.01908067703731,270.781025120329,531.965327938341,"96"
"beta_r[74]",0.00349433819570007,-0.007842765,2.29938603883476,2.31092862,-3.784511,3.7719445,0.999972609302974,8535.48860282483,2427.53617272287,"97"
"beta_r[75]",-0.0128670000627501,-0.0242076,2.15585179302897,2.11337217,-3.6043795,3.4427935,1.00072363493982,9886.19289314882,3011.93911086585,"98"
"beta_r[76]",0.0244613969664999,0.0281237,2.27973960750403,2.265583299,-3.7803545,3.7916185,1.00000885544753,8073.36334908701,2414.78804582802,"99"
"beta_r[77]",0.02975714779625,0.03402535,2.19520744237331,2.15544783909,-3.634982,3.633466,1.00182809831252,10521.9508952556,2735.85463248643,"100"
"beta_r[78]",0.02134155845,0.0487988,2.19436300641075,2.15762778,-3.631123,3.666637,0.999990862697061,8404.33875141698,2851.58409339852,"101"
"beta_r[79]",-0.04202738828775,-0.02641165,2.28805632781714,2.20104327471,-3.7066985,3.664169,1.00094377059533,9169.16833577028,2228.80623640512,"102"
"beta_r[80]",0.0298144308165001,0.0207294,2.29514139898143,2.27296575744,-3.7209685,3.7615975,1.00037141607686,10515.9493990405,2662.51901372959,"103"
"beta_r[81]",-0.004539402195,-0.01947835,2.18448827816546,2.232988338,-3.5971815,3.5681865,1.00024434193153,9902.7433992397,2971.11955563392,"104"
"beta_r[82]",-0.0018424066947501,0.0002030055,2.22180952476773,2.16770946,-3.7163655,3.664761,1.00181328643218,10532.3414210582,2363.26083675512,"105"
"beta_r[83]",0.00708569410499995,0.04418055,2.28492505927496,2.28011359443,-3.7936965,3.7498385,1.0013010479821,9450.55357578983,2805.35357005531,"106"
"beta_r[84]",-0.01224181028625,-0.00645463,2.29189999375051,2.254590368562,-3.8631605,3.737386,1.00223355765821,9076.94147938859,2653.45789675611,"107"
"beta_r[85]",-0.00143767416075002,0.0338542,2.23276662418616,2.208770067,-3.644989,3.5455545,1.000132136121,11861.1573812102,2512.20955854931,"108"
"beta_r[86]",0.013022360359625,0.008150815,2.16943763008451,2.149243677,-3.580211,3.585468,1.00075031091646,7917.19155788715,2883.42525336626,"109"
"beta_r[87]",-0.01312949364475,-0.039556,2.24584149427664,2.300943309,-3.617229,3.7500855,1.00099818336813,8310.10473630492,2592.99653945633,"110"
"beta_r[88]",-0.0375751941355,-0.04864635,2.14466476819482,2.16300420651,-3.491843,3.483222,1.00048633634947,9322.55071176627,2871.10199112705,"111"
"beta_r[89]",-0.00638966211725003,0.02533135,2.247025882148,2.23344253251,-3.7408375,3.724666,1.00023596518906,10053.7766896828,3004.37587675364,"112"
"beta_r[90]",-0.00610167355399994,-0.002683195,2.24842040629462,2.307123074907,-3.6380295,3.70891,0.999761938918942,9648.05873493826,2459.07596165382,"113"
"beta_r[91]",-0.021173860094,-0.0318206,2.16689116985567,2.192772813,-3.5031875,3.559113,1.00241122071697,10630.7578896203,2862.35277012094,"114"
"beta_r[92]",-0.00357825564250003,0.009008595,2.17260472978182,2.200741788,-3.548288,3.5277365,1.00110748782516,9591.02298941899,3173.07998542578,"115"
"beta_r[93]",0.0158218590075,-0.00970274,2.25852125337517,2.200619829324,-3.726722,3.7326775,1.00200168128944,9282.74889211333,2480.17210655453,"116"
"beta_r[94]",-0.01876098222375,-0.004026025,2.27986417967378,2.222114986665,-3.853273,3.66476,1.00182901702037,9047.48946912603,2895.61478726001,"117"
"beta_r[95]",0.02684285824325,0.0310855,2.23824197171917,2.2319883243,-3.65948,3.658795,1.00096685849565,9821.70822860399,2871.87017483218,"118"
"beta_r[96]",-0.0108534616049251,-0.04296785,2.31420037250227,2.30535723159,-3.784659,3.962104,1.00263096771431,13413.5176738956,2676.47149469592,"119"
"beta_r[97]",-0.0207884286670501,-0.02323745,2.24442178828133,2.310898968,-3.6840875,3.534475,1.00001256148282,8873.09699266298,2960.60377365324,"120"
"beta_r[98]",-0.013937956419,0.01326555,2.24722119113477,2.272936995,-3.71356,3.7261175,1.00137003112491,10091.2429092949,2751.11617073865,"121"
"beta_r[99]",-0.00928451039449995,-0.0459346,2.23330109296494,2.21605022604,-3.6985625,3.6335835,1.00185572796201,8982.6912255021,2891.83316374443,"122"
"beta_r[100]",-0.00339116623250002,0.034484,2.22238657322528,2.214181557,-3.73466,3.596278,1.00350014544537,10390.581494663,2752.51280582684,"123"
"beta_r[101]",-2.05373245375,-2.047385,0.469892297932577,0.47939871,-2.831534,-1.314994,1.00704440323668,374.08879751798,701.946055606387,"124"
"beta_r[102]",-0.0165696264385001,-0.0349107,2.20107723140206,2.15350511418,-3.6171925,3.662667,1.00186643949952,9676.61349276766,2589.10879987064,"125"
"beta_r[103]",-1.861741409,-1.844355,0.467228130740654,0.480747876,-2.6405835,-1.129384,1.00722601215664,375.061097601266,611.163551957552,"126"
"beta_r[104]",-0.224620505825625,-0.2162565,0.471008671884776,0.4740279915,-0.9962852,0.51960905,1.0064160216263,380.30068823159,727.710161710468,"127"
"beta_r[105]",0.0107008775439501,0.0332517,2.2495429221117,2.245375461,-3.5998785,3.6156615,1.00016722299513,9819.21642056964,2914.97492942586,"128"
